"site_id","order_id","payload_id","pricing_plant_id","quantity","payload_event_batch_start_time","payload_event_batch_end_time","payload_event_departure_time","payload_event_arrival_time","payload_event_pouring_start_time","payload_event_pouring_finish_time","payload_event_wash_time","payload_event_to_plant_time","payload_event_at_plant_time","pour_lat","pour_long"
"7a7b13ad-e08f-440e-98ae-00358447798b","05f01aec-42b8-4f07-a7c0-d1de879276c7","a4f4ff1d-ff03-4489-a4aa-0037f8867b09","964ee7a6-4e49-4aad-8768-1fabf85966eb","8.00","2022-08-29 14:08:01.000","2022-08-29 14:11:58.000","2022-08-29 14:20:58.000","2022-08-29 14:48:48.000","2022-08-29 15:04:01.000","2022-08-29 15:45:40.000","2022-08-29 15:45:40.000","2022-08-29 16:13:14.000","2022-08-29 16:45:23.000",,
"7a7b13ad-e08f-440e-98ae-00358447798b","dbaf12a8-2625-4a5b-9da6-5e6ab571846d","65927012-021d-4bb6-ac04-6ba95d161ecf","964ee7a6-4e49-4aad-8768-1fabf85966eb","9.00","2022-09-20 14:42:20.000","2022-09-20 14:46:56.000","2022-09-20 14:53:21.000","2022-09-20 15:21:50.000","2022-09-20 15:41:19.000","2022-09-20 15:53:32.000","2022-09-20 15:53:32.000","2022-09-20 16:03:43.000","2022-09-20 16:43:14.000","42.349655","-71.102142"
"7a7b13ad-e08f-440e-98ae-00358447798b","80efed23-ed06-416d-9ec9-3403dcae64b6","9655b635-5a52-4529-b506-4faaf3d0a3bf","964ee7a6-4e49-4aad-8768-1fabf85966eb","11.00","2022-10-13 17:15:51.000","2022-10-13 17:20:38.000","2022-10-13 17:36:00.000","2022-10-13 18:12:21.000","2022-10-13 18:22:46.000",,,"2022-10-13 18:48:07.000","2022-10-13 19:51:29.000","42.349272","-71.102930"
"7a7b13ad-e08f-440e-98ae-00358447798b","b687d701-7ef0-47d0-88b9-af9b63ca8314","5e615a3b-b0cd-4b5b-b904-cde0df1187c5","bee71a1d-573f-4aee-ba50-4438524b0c49","8.00","2022-07-18 11:44:25.000","2022-07-18 11:48:40.000","2022-07-18 12:01:35.000","2022-07-18 12:47:11.000","2022-07-18 12:56:17.000","2022-07-18 13:24:59.000","2022-07-18 13:24:59.000","2022-07-18 13:29:19.000","2022-07-18 14:00:12.000","42.349668","-71.103563"
"7a7b13ad-e08f-440e-98ae-00358447798b","b687d701-7ef0-47d0-88b9-af9b63ca8314","a2b5c447-a439-4aae-bce4-5271510e41d9","bee71a1d-573f-4aee-ba50-4438524b0c49","8.00","2022-07-18 14:08:06.000","2022-07-18 14:15:59.000","2022-07-18 14:46:08.000","2022-07-18 15:17:01.000","2022-07-18 15:35:58.000","2022-07-18 15:36:02.000","2022-07-18 15:36:02.000","2022-07-18 15:38:20.000","2022-07-18 16:35:34.000","42.350020","-71.103444"
"7a7b13ad-e08f-440e-98ae-00358447798b","b687d701-7ef0-47d0-88b9-af9b63ca8314","68357a5c-ef61-49f6-9dc7-6da1fdfb562b","bee71a1d-573f-4aee-ba50-4438524b0c49","10.00","2022-07-18 13:38:14.000","2022-07-18 13:41:49.000","2022-07-18 14:00:36.000","2022-07-18 14:29:16.000","2022-07-18 14:43:47.000","2022-07-18 15:21:31.000","2022-07-18 15:21:31.000","2022-07-18 15:31:37.000","2022-07-18 16:37:15.000","42.350074","-71.102889"
"7a7b13ad-e08f-440e-98ae-00358447798b","b687d701-7ef0-47d0-88b9-af9b63ca8314","da4cc60a-94b6-4a93-901e-5cdf43f0d8be","bee71a1d-573f-4aee-ba50-4438524b0c49","7.00","2022-07-18 12:36:35.000","2022-07-18 12:39:45.000","2022-07-18 12:50:11.000","2022-07-18 13:18:50.000","2022-07-18 13:37:58.000","2022-07-18 14:09:01.000","2022-07-18 14:09:01.000","2022-07-18 14:21:50.000","2022-07-18 14:50:31.000","42.349759","-71.103546"
"7a7b13ad-e08f-440e-98ae-00358447798b","b687d701-7ef0-47d0-88b9-af9b63ca8314","163ccbaf-12ea-4f66-8239-9f3b6efa89d5","bee71a1d-573f-4aee-ba50-4438524b0c49","1.00","2022-07-18 11:41:41.000","2022-07-18 11:44:17.000","2022-07-18 11:51:51.000","2022-07-18 12:23:40.000","2022-07-18 12:35:07.000","2022-07-18 12:36:57.000","2022-07-18 12:36:57.000","2022-07-18 12:38:32.000","2022-07-18 13:21:26.000","42.349695","-71.103510"
"7a7b13ad-e08f-440e-98ae-00358447798b","35ab88c9-f80d-41d3-a65c-9e3bf223e1fa","3e0e6560-7345-43a5-8231-9f83dcdfb564","964ee7a6-4e49-4aad-8768-1fabf85966eb","11.00","2022-09-19 14:14:34.000","2022-09-19 14:19:11.000","2022-09-19 14:26:27.000","2022-09-19 14:57:50.000","2022-09-19 15:03:11.000","2022-09-19 15:15:31.000","2022-09-19 15:15:31.000","2022-09-19 15:26:02.000","2022-09-19 15:55:27.000","42.350174","-71.102500"
"7a7b13ad-e08f-440e-98ae-00358447798b","35ab88c9-f80d-41d3-a65c-9e3bf223e1fa","a442c892-f069-4c3e-bbb2-6ef7a7827799","964ee7a6-4e49-4aad-8768-1fabf85966eb","11.00","2022-09-19 11:32:31.000","2022-09-19 11:37:18.000","2022-09-19 11:50:42.000","2022-09-19 13:19:58.000","2022-09-19 13:26:20.000","2022-09-19 13:37:51.000","2022-09-19 13:37:51.000","2022-09-19 13:41:07.000","2022-09-19 14:11:08.000","42.349882","-71.102462"
