"site_id","order_id","payload_id","pricing_plant_id","quantity","payload_event_batch_start_time","payload_event_batch_end_time","payload_event_departure_time","payload_event_arrival_time","payload_event_pouring_start_time","payload_event_pouring_finish_time","payload_event_wash_time","payload_event_to_plant_time","payload_event_at_plant_time","pour_lat","pour_long"
"7a7b13ad-e08f-440e-98ae-00358447798b","9d27ba76-9030-4e45-9493-5af4fd15417e","e9ac579c-7d53-43f5-9090-8396a0a750b1","bee71a1d-573f-4aee-ba50-4438524b0c49","6.00","2023-07-18 15:01:20.000","2023-07-18 15:05:58.000","2023-07-18 15:12:58.000","2023-07-18 15:55:09.000","2023-07-18 16:00:46.000","2023-07-18 16:11:57.000","2023-07-18 16:11:57.000","2023-07-18 16:25:58.000","2023-07-18 17:12:52.000","42.349861","-71.103537"
"7a7b13ad-e08f-440e-98ae-00358447798b","aa7f7393-0662-4bd5-aabd-bfe24ecd7ddf","6ae5fd37-1f74-4be7-996f-d4c2d903c570","bee71a1d-573f-4aee-ba50-4438524b0c49","6.00","2023-06-06 14:54:04.000","2023-06-06 15:00:13.000","2023-06-06 15:10:25.000","2023-06-06 15:52:26.000","2023-06-06 15:54:05.000","2023-06-06 17:20:20.000","2023-06-06 17:20:20.000","2023-06-06 17:44:24.000","2023-06-06 18:38:45.000","42.349652","-71.102320"
"7a7b13ad-e08f-440e-98ae-00358447798b","aa7f7393-0662-4bd5-aabd-bfe24ecd7ddf","c81e4b6e-32e1-413f-b6d2-cee1406e9190","bee71a1d-573f-4aee-ba50-4438524b0c49","11.00","2023-06-06 12:49:29.000","2023-06-06 12:51:01.000","2023-06-06 13:05:44.000","2023-06-06 13:47:02.000","2023-06-06 13:52:07.000","2023-06-06 13:54:06.000","2023-06-06 13:54:06.000","2023-06-06 15:38:34.000","2023-06-06 16:11:40.000","42.350189","-71.103184"
"7a7b13ad-e08f-440e-98ae-00358447798b","aa7f7393-0662-4bd5-aabd-bfe24ecd7ddf","a1ed80c8-77e5-4796-97d6-2c208b829826","bee71a1d-573f-4aee-ba50-4438524b0c49","11.00","2023-06-06 10:15:01.000","2023-06-06 10:17:52.000","2023-06-06 10:34:59.000","2023-06-06 11:13:55.000","2023-06-06 11:19:58.000","2023-06-06 11:39:25.000","2023-06-06 11:39:25.000","2023-06-06 12:04:51.000","2023-06-06 12:34:51.000","42.350608","-71.103342"
"7a7b13ad-e08f-440e-98ae-00358447798b","aa7f7393-0662-4bd5-aabd-bfe24ecd7ddf","57f01435-8d5d-4e08-a0b5-f483495bfa2a","bee71a1d-573f-4aee-ba50-4438524b0c49","11.00","2023-06-06 11:24:03.000","2023-06-06 11:30:24.000","2023-06-06 11:45:41.000","2023-06-06 12:28:07.000","2023-06-06 12:28:42.000","2023-06-06 12:52:59.000","2023-06-06 12:52:59.000","2023-06-06 13:09:04.000","2023-06-06 13:40:00.000","42.350397","-71.103370"
"7a7b13ad-e08f-440e-98ae-00358447798b","ba145466-2452-47e6-8c28-3f94f08b0367","4e74a10f-5206-47c7-a12c-8d86542ce387","964ee7a6-4e49-4aad-8768-1fabf85966eb","3.00","2023-06-01 16:14:26.000","2023-06-01 16:18:33.000","2023-06-01 16:27:15.000","2023-06-01 17:04:46.000","2023-06-01 17:12:53.000","2023-06-01 17:25:38.000","2023-06-01 17:25:38.000","2023-06-01 17:35:19.000","2023-06-01 18:08:05.000","42.349975","-71.103698"
"7a7b13ad-e08f-440e-98ae-00358447798b","35cd0c3c-dc2f-4728-88b8-abcb07f1a95f","2d171c7a-7086-4025-baa3-550f3b5bde49","bee71a1d-573f-4aee-ba50-4438524b0c49","4.00","2023-06-19 13:47:03.000","2023-06-19 13:51:39.000","2023-06-19 14:16:22.000","2023-06-19 14:49:13.000","2023-06-19 15:16:52.000",,,"2023-06-19 15:27:53.000","2023-06-19 16:31:18.000","42.350002","-71.103313"
"7a7b13ad-e08f-440e-98ae-00358447798b","96f6087d-6571-41fe-a22b-50f31f368ae3","609ee553-7393-4704-8e72-19d7cfff5b0d","bee71a1d-573f-4aee-ba50-4438524b0c49","7.00","2023-06-05 14:21:10.000","2023-06-05 14:25:00.000","2023-06-05 14:38:28.000","2023-06-05 15:16:58.000","2023-06-05 15:19:29.000","2023-06-05 15:43:06.000","2023-06-05 15:43:06.000","2023-06-05 16:05:01.000","2023-06-05 16:35:21.000","42.350015","-71.103614"
"7a7b13ad-e08f-440e-98ae-00358447798b","96f6087d-6571-41fe-a22b-50f31f368ae3","900d9783-591f-40e7-90f3-03b5f5d66093","bee71a1d-573f-4aee-ba50-4438524b0c49","10.00","2023-06-05 13:12:09.000","2023-06-05 13:19:46.000","2023-06-05 13:27:31.000","2023-06-05 14:07:08.000","2023-06-05 14:16:43.000","2023-06-05 14:58:07.000","2023-06-05 14:58:07.000","2023-06-05 15:16:28.000","2023-06-05 15:45:19.000","42.349724","-71.103556"
